maker,model,size,format,doors,seats,Cylinders,Automatic,Assisted steering,ESP,0-100 kmph (sec),Max speed (km/h),Fuel eff (l/100km),Fuel type
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,S,"7,2",240,"9,1",Super Plus
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,,7,242,9,Superkraftstoff
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,S,"6,5",250,"9,1",Super Plus
BMW,3-Series,Medium car,Coupe,2,5,L4,5,S,S,"8,8",221,"5,8",Diesel
BMW,3-Series,Medium car,Coupe,2,5,L6,5,S,S,"7,2",242,"6,6",Diesel
BMW,3-Series,Medium car,Coupe,2,5,L6,-,S,S,"5,2",250,"11,9",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L6,-,S,S,"4,9",250,"11,9",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L4,5,S,S,"10,2",206,"7,7",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,S,"8,8",222,"9,4",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,S,"7,7",234,"9,6",Super Plus
BMW,3-Series,Medium car,Cabrio,2,4,L6,5,S,S,"6,9",247,"9,5",Super Plus
BMW,3-Series,Medium car,Coupe,2,4,L4,5,S,S,"9,7",211,"6,3",Diesel
BMW,3-Series,Medium car,Coupe,2,4,L6,5,S,S,"7,8",234,7,Diesel
BMW,3-Series,Medium car,Cabrio,2,4,L6,-,S,S,"5,5",250,"12,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,10,208,"7,3",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"9,1",210,"5,9",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,9,220,"7,5",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"8,2",228,"6,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"8,1",225,"8,9",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,7,245,"8,4",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,7",250,"7,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,3",250,"8,7",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,1",250,"7,2",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"5,6",250,"9,6",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"5,6",250,"9,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"5,6",250,"8,4",Superkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,V8,-,S,S,"4,9",250,"12,4",Superkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"10,9",202,"4,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,-,S,S,"10,6",206,"5,6",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,-,S,S,"9,3",210,"4,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"9,1",210,"4,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"8,3",225,"5,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"8,2",225,"4,1",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"7,9",230,"4,8",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L4,6,S,S,"7,5",235,"4,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,-,S,S,"7,4",235,"6,4",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"7,4",235,"5,9",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,7,242,"5,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,7",250,"6,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,7",250,"6,1",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,1",250,"5,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,1",250,"5,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,2",250,"7,5",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,2",250,"6,7",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,6,250,"6,6",Diesel + partikelfilter
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"7,5",242,"9,2",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"7,3",244,"7,9",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"7,3",244,"8,1",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,4",250,"9,6",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,2",250,8,Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"6,2",250,"8,2",Super Plus
BMW,3-Series,Medium car,Saloon,4,5,L6,6,S,S,"5,5",250,"9,7",Super Plus
