name,description,price,img,linkto,infos2,infos3,infos4,rating
Thomson TLINK 11 NOIR,2G (GSM) / Quadri-band / compatible SIM standard,357,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/thomson_tlink11_bk_n1606014236475A_155714992.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/thomson_tlink11_bk.html,"Écran 1,77"" - 128 x 160 pixels 65000 couleurs",Bluetooth,Slot MicroSD,5/5 (1 avis)
Sony XPERIA XA DUAL SIM 16GO NOIR,OS Android 6.0 - Marshmallow,171,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/sony_xperia_xa_16_go_noir_n1606064237692A_122018633.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/sony_xperia_xa_16_go_noir.html,"Ecran tactile 12.7 cm (5"") - Triluminos 1280 X 720 pixels",Photo 13 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 2,0GHz - 16Go de mémoire",5/5 (1 avis)
Huawei NOVA OR,OS Android 6.0 - Marshmallow,275,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_nova_or_n1610214265637A_150429133.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_nova_or.html,"Ecran tactile 12.7 cm (5"") - IPS 1920 x 1080 pixels",Photo 12 mégapixels - Vidéo UHD 4K,Processeur octo-cœur 2GHz - 32Go de mémoire,5/5 (1 avis)
Sony XPERIA XA1 ULTRA DUAL SIM 32GO BLANC,OS Android 7.0 - Nougat,391,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/sony_xperiaxa1ultrads_bk_1_n1704144315391A_102943427.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/sony_xperiaxa1ultrads_bk_1.html,"Écran tactile 15,2cm (6"") - Full HD 1920x1080 pixels",Photo 23 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 2,3GHz - 32Go de mémoire",5/5 (1 avis)
Samsung GALAXY S8 ARGENT POLAIRE,OS Android 7.0 - Nougat,809,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_dream_1_s_n1703294306228A_163858016.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_dream_1_s.html,"Écran tactile 14,7 cm (5,8'') - Quad HD+ 2960 x 1440 pixels",Photo 12 mégapixels - Vidéo UHD 4K,"Processeur Octo-coeur 2,3GHz - 64Go de mémoire",5/5 (1 avis)
Samsung GALAXY S8 ORCHIDEE,OS Android 7.0 - Nougat,809,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_dream_1_l_n1703294306295A_165014037.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_dream_1_l.html,"Écran tactile 14,7 cm (5,8'') - Quad HD+ 2960 x 1440 pixels",Photo 12 mégapixels - Vidéo UHD 4K,"Processeur Octo-coeur 2,3GHz - 64Go de mémoire",5/5 (1 avis)
Apple IPHONE SE 32GO GRIS SIDERAL,OS Apple - iOS 9,165,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph_se_32_spgr_n1603224043260A_164556656.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph_se_32_spgr.html,"Ecran tactile de 10,2 cm (4"") - 1136 x 640 pixels",Photo 12 mégapixels - Vidéo UHD 4K,Processeur A9 - 32Go de mémoire,5/5 (1 avis)
Lg G6 BLEU PLATINIUM,OS Android 7.1 - Nougat,592,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/lg_g6_bleu_platinium_n1706304340248A_170113833.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/lg_g6_bleu_platinium.html,"Ecran tactile 14.5 cm (5,7"") - IPS 2880 x 1440 pixels",Photo 13 mégapixels + 13 mégapixels - Vidéo Ultra HD 4K,"Processeur Quad Core 2,35GHz - 32Go de mémoire",5/5 (3 avis)
Asus ZENFONE 4 SELFIE NOIR,OS Android 7.0 - Nougat,352,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/asus_zenfone_4_selfie_bk_n1708314356705A_155618515.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/asus_zenfone_4_selfie_bk.html,"Écran tactile 13,97cm (5,5'') -HD IPS 1280x720 pixels",Photo 16 mégapixels - Vidéo Full HD 1080p,"Processeur Octo-coeur 1,4GHz - 64Go de mémoire",5/5 (1 avis)
Huawei Y6 2017 GRIS,OS Android 6.0 - Marshmallow,145,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_y6_2017_gris_n1707134344030A_163524774.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_y6_2017_gris.html,"Ecran tactile 12.7 cm (5"") - HD 1280 X 720 pixels",Photo 13 mégapixels - Vidéo Full HD 1080p,"Processeur Quad-Core 1,4 GHz - 16Go de mémoire",5/5 (1 avis)
Apple IPHONE 8 PLUS RED 256GO,OS Apple - iOS 11,599,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_red_256go_n1804094360206A_165255325.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_red_256go.html,"Écran tactile 13,9 cm (5,5'') - Retina HD 1920 x 1080 pixels",Photo 12 mégapixels grand angle et téléobjectif - Vidéo UHD 4K,Puce A11 Bionic - 256 Go de mémoire,5/5 (1 avis)
